Author,Year,Title,Publication,DOI,Authors,Published-print,Volume,Page
Zhou,2021,ADDCNN: An Attention-Based Deep Dilated Convolutional Neural Network for Seismic Facies Analysis With Interpretable SpatialSpectral Maps,IEEE Trans Geosci Remote Sensing,10.1109/tgrs.2020.2999365,"Li, Fangyu; Zhou, Huailai; Wang, Zengyan; Wu, Xinming",2021,59,59
Muerth,2021,ExtremeEarth Meets Satellite Data From Space,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2021.3107982,"Hagos, Desta Haileselassie; Kakantousis, Theofilos; Vlassov, Vladimir; Sheikholeslami, Sina; Wang, Tianze; Dowling, Jim; Paris, Claudia; Marinelli, Daniele; Weikmann, Giulio; Bruzzone, Lorenzo; Khaleghian, Salman; Kraemer, Thomas; Eltoft, Torbjorn; Marinoni, Andrea; Pantazi, Despina-Athanasia; Stamoulis, George; Bilidas, Dimitris; Papadakis, George; Mandilaras, George; Koubarakis, Manolis; Troumpoukis, Antonis; Konstantopoulos, Stasinos; Muerth, Markus; Appel, Florian; Fleming, Andrew; Cziferszky, Andreas",2021,14,14
Karim,2021,Deep/Transfer Learning with Feature Space Ensemble Networks (FeatSpaceEnsNets) and Average Ensemble Networks (AvgEnsNets) for Change Detection Using DInSAR Sentinel-1 and Optical Sentinel-2 Satellite Data Fusion,Remote Sens,10.3390/rs13214394,"Karim, Zainoolabadien; van Zyl, Terence L.",,13,13
Carvalho,2021,Satellite Image Time Series Analysis for Big Earth Observation Data,Remote Sens,10.3390/rs13132428,"Simoes, Rolf; Camara, Gilberto; Queiroz, Gilberto; Souza, Felipe; Andrade, Pedro R.; Santos, Lorena; Carvalho, Alexandre; Ferreira, Karine",,13,13
Cherati,2021,Bio-Inspired Hybridization of Artificial Neural Networks: An Application for Mapping the Spatial Distribution of Soil Texture Fractions,Remote Sens,10.3390/rs13051025,"Taghizadeh-Mehrjardi, Ruhollah; Emadi, Mostafa; Cherati, Ali; Heung, Brandon; Mosavi, Amir; Scholten, Thomas",,13,13
Park,2019,Spatial Assessment of Solar Radiation by Machine Learning and Deep Neural Network Models Using Data Provided by the COMS MI Geostationary Satellite: A Case Study in South Korea,Sensors,10.3390/s19092082,"Yeom, Jong-Min; Park, Seonyoung; Chae, Taebyeong; Kim, Jin-Young; Lee, Chang Suk",,19,19
Puertas-Ruiz,2020,Tree Cover Estimation in Global Drylands from Space Using Deep Learning,Remote Sens,10.3390/rs12030343,"Guirado, Emilio; Alcaraz-Segura, Domingo; Cabello, Javier; Puertas-Ruíz, Sergio; Herrera, Francisco; Tabik, Siham",,12,12
Hsu,2021,Tobler's First Law in GeoAI: A Spatially Explicit Deep Learning Model for Terrain Feature Detection under Weak Supervision,Ann Am Assoc Geogr,10.1080/24694452.2021.1877527,"Li, Wenwen; Hsu, Chia-Yu; Hu, Maosheng",,,
Song,2021,Prediction of Subsidence during TBM Operation in Mixed-Face Ground Conditions from Realtime Monitoring Data,Appl Sci -Basel,10.3390/app112412130,"Lee, Hyun-Koo; Song, Myung-Kyu; Lee, Sean Seungwon",,11,11
Lee,2021,Prediction of Subsidence during TBM Operation in Mixed-Face Ground Conditions from Realtime Monitoring Data,Appl Sci -Basel,10.3390/app112412130,"Lee, Hyun-Koo; Song, Myung-Kyu; Lee, Sean Seungwon",,11,11
Manuel Sanchez,2020,Use of computational intelligence techniques to predict flooding in places adjacent to the Magdalena River,Heliyon,10.1016/j.heliyon.2020.e04872,"Moreno, Jenny Marcela; Sánchez, Juan Manuel; Espitia, Helbert Eduardo",2020,6,6
Reichstein,2019,Deep learning and process understanding for data-driven Earth system science,Nature,10.1038/s41586-019-0912-1,"Reichstein, Markus; Camps-Valls, Gustau; Stevens, Bjorn; Jung, Martin; Denzler, Joachim; Carvalhais, Nuno; Prabhat",2019,566,566
Bahrami,2021,Deep Learning-Based Estimation of Crop Biophysical Parameters Using Multi-Source and Multi-Temporal Remote Sensing Observations,Agronomy-Basel,10.3390/agronomy11071363,"Bahrami, Hazhir; Homayouni, Saeid; Safari, Abdolreza; Mirzaei, Sayeh; Mahdianpari, Masoud; Reisi-Gahrouei, Omid",,11,11
Ali,2020,Big Data Analytics for Short and Medium-Term Electricity Load Forecasting Using an AI Techniques Ensembler,Energies,10.3390/en13195193,"Ayub, Nasir; Irfan, Muhammad; Awais, Muhammad; Ali, Usman; Ali, Tariq; Hamdi, Mohammed; Alghamdi, Abdullah; Muhammad, Fazal",,13,13
Wightman,2019,A MACHINE LEARNING PIPELINE ARTICULATING SATELLITE IMAGERY AND OPENSTREETMAP FOR ROAD DETECTION,FOSS4G 2019 - ACADEMIC TRACK,10.5194/isprs-archives-xlii-4-w14-255-2019,"Zurbaran, M. A.; Wightman, P.; Brovelli, M. A.",,XLII-4/W14,XLII-4/W14
Tombe,2021,Adaptive Deep Co-Occurrence Feature Learning Based on Classifier-Fusion for Remote Sensing Scene Classification,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.3044264,"Tombe, Ronald; Viriri, Serestina",2021,14,14
Gamazo,2021,Distribution of Groundwater Arsenic in Uruguay Using Hybrid Machine Learning and Expert System Approaches,Water,10.3390/w13040527,"Wu, Ruohan; Alvareda, Elena; Polya, David; Blanco, Gonzalo; Gamazo, Pablo",,13,13
